name, average, standard, count
Brian_Heidik, 0.266265, 0.000000, 2
Brian_Mulroney, 0.199341, 0.000000, 2
Brian_Wells, 0.278899, 0.000000, 2
Bridgette_Wilson-Sampras, 0.467746, 0.109496, 3
Bridget_Fonda, 0.342581, 0.116512, 3
Brigitte_Boisselier, 0.291318, 0.000000, 2
Britney_Spears, 0.486348, 0.135222, 14
Brooke_Shields, 0.462137, 0.000000, 2
Bruce_Springsteen, 0.605344, 0.119538, 4
Bruce_Van_De_Velde, 0.294836, 0.000000, 2
Bruce_Weber, 0.388103, 0.000000, 2
Bud_Selig, 0.325853, 0.050129, 4
Bulent_Ecevit, 0.257868, 0.043848, 6
Butch_Davis, 0.313671, 0.000000, 2
Byron_Scott, 0.263051, 0.000000, 2
Calista_Flockhart, 0.293136, 0.166757, 6
Cameron_Diaz, 0.355738, 0.068691, 6
Camilla_Parker_Bowles, 0.277053, 0.000000, 2
Candice_Bergen, 0.260530, 0.074895, 3
Candie_Kung, 0.503147, 0.113878, 4
Carla_Del_Ponte, 0.329551, 0.068411, 5
Carla_Myers, 0.155264, 0.000000, 2
Carlos_Bianchi, 0.476497, 0.000000, 2
Carlos_Ghosn, 0.208014, 0.000000, 2
Carlos_Manuel_Pruneda, 0.297520, 0.075172, 3
Carlos_Menem, 0.316869, 0.182430, 21
Carlos_Mesa, 0.409696, 0.000000, 2
Carlos_Moya, 0.603093, 0.112032, 19
Carlos_Ortega, 0.300544, 0.063118, 3
Carlos_Quintanilla_Schmidt, 0.302391, 0.000000, 2
Carlos_Ruiz, 0.297835, 0.026068, 3
Carlos_Vives, 0.454854, 0.068905, 4
Carlo_Ancelotti, 0.302731, 0.021380, 3
Carly_Fiorina, 0.313314, 0.070129, 3
Carl_Reiner, 0.128009, 0.000000, 2
Carmen_Electra, 0.396564, 0.145414, 6
Carolina_Kluft, 0.273244, 0.035725, 3
Carolina_Moraes, 0.273926, 0.000000, 2
Caroline_Kennedy, 0.268372, 0.034235, 3
Carolyn_Dawn_Johnson, 0.280963, 0.057054, 3
Carol_Burnett, 0.295994, 0.000000, 2
Carol_Moseley_Braun, 0.309913, 0.000000, 2
Carrie-Anne_Moss, 0.243032, 0.064145, 5
Carson_Daly, 0.398968, 0.000000, 2
Carson_Palmer, 0.321416, 0.073851, 4
Cate_Blanchett, 0.333236, 0.069519, 4
Catherine_Deneuve, 0.233484, 0.037167, 5
Catherine_Zeta-Jones, 0.333098, 0.090068, 11
Cathy_Freeman, 0.244735, 0.000000, 2
Cecilia_Bolocco, 0.204283, 0.025902, 3
Celine_Dion, 0.259444, 0.079906, 8
Celso_Amorim, 0.326416, 0.000000, 2
Cesar_Gaviria, 0.501794, 0.151608, 8
Cesar_Maia, 0.446347, 0.000000, 2
Chakib_Khelil, 0.304150, 0.000000, 2
Chanda_Rubin, 0.377148, 0.101437, 5
Chang_Dae-whan, 0.309654, 0.000000, 2
Chan_Gailey, 0.607808, 0.231777, 3
Charles_Bronson, 0.285983, 0.042411, 3
Charles_Grassley, 0.374323, 0.000000, 2
Charles_Kartman, 0.214579, 0.000000, 2
Charles_Mathews, 0.409573, 0.000000, 2
Charles_Moose, 0.557317, 0.124471, 13
Charles_Schumer, 0.361999, 0.000000, 2
Charles_Taylor, 0.417611, 0.120456, 9
Charlie_Zaa, 0.326753, 0.000000, 2
Charlotte_Rampling, 0.297917, 0.000000, 2
Charlton_Heston, 0.352231, 0.092490, 6
Chen_Liang_Yu, 0.455424, 0.000000, 2
Chen_Shui-bian, 0.291091, 0.061900, 5
Cherie_Blair, 0.245182, 0.030779, 4
Chick_Hearn, 0.499664, 0.098834, 3
Chita_Rivera, 0.266656, 0.000000, 2
Choi_Sung-hong, 0.182584, 0.078625, 5
Chok_Tong_Goh, 0.361003, 0.000000, 2
Christian_Fittipaldi, 0.337906, 0.000000, 2
Christian_Longo, 0.263666, 0.055569, 3
Christian_Wulff, 0.198207, 0.000000, 2
Christina_Aguilera, 0.276352, 0.077756, 4
Christine_Baumgartner, 0.466195, 0.139498, 5
Christine_Ebersole, 0.494992, 0.000000, 2
Christine_Gregoire, 0.306448, 0.112910, 4
Christine_Todd_Whitman, 0.330452, 0.072097, 6
Christopher_Patten, 0.478516, 0.000000, 2
Christopher_Reeve, 0.277577, 0.132981, 4
Christopher_Walken, 0.385140, 0.215181, 4
Chris_Bell, 0.184702, 0.000000, 2
Chris_Byrd, 0.255911, 0.000000, 2
