name, average, standard, count
Daniel_Radcliffe, 0.274199, 0.123010, 4
Dan_Morales, 0.377009, 0.033087, 3
Dan_Wheldon, 0.584502, 0.000000, 2
Darrell_Issa, 0.267820, 0.000000, 2
Darrell_Porter, 0.508484, 0.000000, 2
Darren_Clarke, 0.297930, 0.000000, 2
Daryl_Hannah, 0.241888, 0.000000, 2
Dave_Campo, 0.577637, 0.143313, 3
David_Anderson, 0.440523, 0.068125, 5
David_Beckham, 0.478797, 0.109324, 31
David_Bell, 0.233760, 0.000000, 2
David_Caraway, 0.874918, 0.000000, 2
David_Caruso, 0.482001, 0.059501, 3
David_Coulthard, 0.311968, 0.000000, 2
David_Dodge, 0.311456, 0.000000, 2
David_Heyman, 0.211055, 0.000000, 2
David_Heymann, 0.382286, 0.123884, 5
David_Hyde_Pierce, 0.382259, 0.067343, 4
David_Kelley, 0.347110, 0.000000, 2
David_Leahy, 0.496806, 0.000000, 2
David_Myers, 0.641958, 0.000000, 2
David_Nalbandian, 0.235602, 0.121556, 14
David_Spade, 0.229127, 0.000000, 2
David_Stern, 0.245777, 0.103092, 4
David_Trimble, 0.388031, 0.082773, 5
David_Wells, 0.321981, 0.093557, 7
David_Wolf, 0.344736, 0.000000, 2
Dean_Barkley, 0.556662, 0.107039, 4
Debbie_Reynolds, 0.384721, 0.094563, 4
Debra_Brown, 0.384994, 0.000000, 2
Debra_Messing, 0.421085, 0.074983, 3
Demetrius_Ferraciu, 0.360326, 0.000000, 2
Demi_Moore, 0.506174, 0.118070, 4
Denise_Johnson, 0.313030, 0.000000, 2
Dennis_Erickson, 0.265733, 0.000000, 2
Dennis_Hastert, 0.558255, 0.139324, 6
Dennis_Kozlowski, 0.350345, 0.000000, 2
Dennis_Kucinich, 0.369922, 0.078964, 7
Dennis_Powell, 0.528572, 0.000000, 2
Denzel_Washington, 0.276505, 0.133792, 5
Derek_Jeter, 0.354090, 0.075988, 4
Derek_Lowe, 0.474566, 0.000000, 2
Desiree_Lemosi, 0.361560, 0.000000, 2
Dexter_Jackson, 0.484855, 0.000000, 2
Diana_Krall, 0.309442, 0.044533, 6
Diana_Munz, 0.317400, 0.129790, 3
Diana_Taurasi, 0.438666, 0.000000, 2
Diane_Green, 0.377295, 0.000000, 2
Dianne_Feinstein, 0.428506, 0.062598, 3
Dick_Cheney, 0.522432, 0.131163, 14
Dick_Clark, 0.391365, 0.062967, 3
Dick_Latessa, 0.461395, 0.000000, 2
Dick_Vermeil, 0.228207, 0.000000, 2
Dino_de_Laurentis, 0.267719, 0.000000, 2
Dolly_Parton, 0.379715, 0.000000, 2
Dolma_Tsering, 0.389667, 0.000000, 2
Dominik_Garcia-Lorido, 0.312181, 0.000000, 2
Dominique_de_Villepin, 0.257299, 0.087161, 15
Donald_Evans, 0.285995, 0.000000, 2
Donald_Fehr, 0.397629, 0.098100, 4
Donald_Pettit, 0.264570, 0.048487, 3
Donald_Rumsfeld, 0.273629, 0.094284, 121
Donatella_Versace, 0.703373, 0.197471, 3
Donna_Shalala, 0.232888, 0.000000, 2
Don_Nickles, 0.303653, 0.000000, 2
Don_Siegelman, 0.348213, 0.182395, 4
Doris_Roberts, 0.295339, 0.064986, 3
Doris_Schroeder, 0.404082, 0.079436, 4
Dorthy_Moxley, 0.337693, 0.000000, 2
Doug_Collins, 0.449686, 0.000000, 2
Doug_Duncan, 0.334505, 0.000000, 2
Doug_Melvin, 0.280830, 0.046258, 3
Drew_Barrymore, 0.667496, 0.000000, 2
Duane_Lee_Chapman, 0.213222, 0.000000, 2
Dwayne_Johnson, 0.283050, 0.000000, 2
Eddie_Sutton, 0.280585, 0.000000, 2
Eddy_Merckx, 0.365793, 0.000000, 2
Edie_Falco, 0.430278, 0.000000, 2
Edmund_Hillary, 0.318507, 0.041454, 3
Edmund_Stoiber, 0.278604, 0.112947, 13
Eduardo_Duhalde, 0.434964, 0.125886, 14
Eduard_Shevardnadze, 0.363300, 0.119733, 5
Edward_James_Olmos, 0.192214, 0.000000, 2
Edward_Kennedy, 0.444840, 0.083577, 3
Edward_Lu, 0.332519, 0.092819, 6
Edward_Norton, 0.308506, 0.000000, 2
Edward_Said, 0.374101, 0.000000, 2
Edwina_Currie, 0.299772, 0.079971, 4
Edwin_Edwards, 0.370436, 0.058402, 3
Ed_Rosenthal, 0.349307, 0.097486, 3
