name, average, standard, count
Christopher_Reeve, 0.319305, 0.120410, 3
Christopher_Walken, 0.232275, 0.052991, 3
Chris_Bell, 0.184702, 0.000000, 2
Chris_Byrd, 0.255911, 0.000000, 2
Chris_Cooper, 0.488288, 0.000000, 2
Chris_Rock, 0.260615, 0.000000, 2
Chris_Tucker, 0.353603, 0.000000, 2
Chuck_Amato, 0.282015, 0.000000, 2
Chuck_Yeager, 0.343831, 0.000000, 2
Chung_Mong-hun, 0.236847, 0.000000, 2
Chung_Mong-joon, 0.246077, 0.000000, 2
Cindy_Crawford, 0.203094, 0.000000, 2
Cindy_Margolis, 0.385201, 0.000000, 2
Ciro_Gomes, 0.237595, 0.062366, 4
Claire_Danes, 0.195585, 0.026996, 3
Claire_Hentzen, 0.298645, 0.000000, 2
Claire_Leger, 0.218773, 0.000000, 2
Clara_Harris, 0.278536, 0.054101, 4
Clare_Short, 0.235568, 0.010191, 3
Claudia_Pechstein, 0.451739, 0.129573, 5
Claudia_Schiffer, 0.194328, 0.034312, 3
Clay_Aiken, 0.219415, 0.043597, 5
Clint_Eastwood, 0.311578, 0.036096, 3
Colin_Farrell, 0.290820, 0.102445, 7
Colin_Jackson, 0.436695, 0.000000, 2
Colin_Montgomerie, 0.477223, 0.107657, 5
Colin_Powell, 0.343034, 0.085840, 9
Conan_OBrien, 0.399520, 0.069210, 4
Conchita_Martinez, 0.211453, 0.024846, 3
Condoleezza_Rice, 0.359656, 0.109506, 8
Constance_Marie, 0.263736, 0.024846, 3
Coretta_Scott_King, 0.235486, 0.025612, 3
Corinne_Coman, 0.300446, 0.000000, 2
Costas_Simitis, 0.244887, 0.081419, 6
Courtney_Love, 0.368405, 0.000000, 2
Cristina_Fernandez, 0.276780, 0.000000, 2
Cristina_Saralegui, 0.369516, 0.000000, 2
Cruz_Bustamante, 0.217875, 0.071739, 5
Cyndi_Thompson, 0.185507, 0.000000, 2
Daisy_Fuentes, 0.257290, 0.000000, 2
Dai_Bachtiar, 0.432353, 0.000000, 2
Dalai_Lama, 0.279485, 0.000000, 2
Dale_Earnhardt_Jr, 0.405623, 0.000000, 2
Damon_van_Dam, 0.237046, 0.000000, 2
Daniela_Hantuchova, 0.379037, 0.000000, 2
Daniel_Day-Lewis, 0.281575, 0.054220, 3
Daniel_Radcliffe, 0.318657, 0.086568, 3
Dan_Morales, 0.333120, 0.028656, 3
Dan_Wheldon, 0.300892, 0.000000, 2
Darrell_Issa, 0.317579, 0.000000, 2
Darrell_Porter, 0.253235, 0.000000, 2
Darren_Clarke, 0.558962, 0.000000, 2
Daryl_Hannah, 0.311640, 0.000000, 2
Dave_Campo, 0.338899, 0.017247, 3
David_Anderson, 0.301006, 0.015275, 3
David_Beckham, 0.307499, 0.083194, 12
David_Caraway, 0.200243, 0.000000, 2
David_Caruso, 0.275638, 0.000000, 2
David_Coulthard, 0.631323, 0.000000, 2
David_Dodge, 0.220666, 0.000000, 2
David_Heyman, 0.334888, 0.000000, 2
David_Heymann, 0.223602, 0.000000, 2
David_Hyde_Pierce, 0.212874, 0.042457, 4
David_Kelley, 0.574812, 0.000000, 2
David_Leahy, 0.265554, 0.000000, 2
David_Myers, 0.436606, 0.000000, 2
David_Nalbandian, 0.232824, 0.089628, 8
David_Spade, 0.306306, 0.000000, 2
David_Stern, 0.361551, 0.054173, 3
David_Trimble, 0.350290, 0.089412, 4
David_Wells, 0.290663, 0.050632, 5
David_Wolf, 0.260290, 0.000000, 2
Debbie_Reynolds, 0.201237, 0.044836, 4
Debra_Brown, 0.243788, 0.000000, 2
Debra_Messing, 0.192210, 0.000000, 2
Demetrius_Ferraciu, 0.239426, 0.000000, 2
Demi_Moore, 0.283265, 0.064270, 3
Denise_Johnson, 0.342243, 0.000000, 2
Dennis_Erickson, 0.159795, 0.000000, 2
Dennis_Hastert, 0.450138, 0.093933, 5
Dennis_Kucinich, 0.290489, 0.061734, 5
Dennis_Powell, 0.463913, 0.000000, 2
Denzel_Washington, 0.360504, 0.109189, 4
Derek_Jeter, 0.288044, 0.057563, 4
Derek_Lowe, 0.305679, 0.000000, 2
Desiree_Lemosi, 0.259436, 0.000000, 2
Dexter_Jackson, 0.271556, 0.000000, 2
Diana_Krall, 0.339954, 0.082626, 4
Diana_Munz, 0.350119, 0.054863, 3
Diana_Taurasi, 0.277235, 0.000000, 2
Dianne_Feinstein, 0.249400, 0.051962, 3
Dick_Cheney, 0.210610, 0.060481, 8
Dick_Clark, 0.277020, 0.045789, 3
Dick_Latessa, 0.352553, 0.000000, 2
Dick_Vermeil, 0.335633, 0.000000, 2
Dino_de_Laurentis, 0.213411, 0.000000, 2
Dolly_Parton, 0.398372, 0.000000, 2
Dolma_Tsering, 0.360361, 0.000000, 2
Dominique_de_Villepin, 0.292304, 0.075858, 9
Donald_Evans, 0.261243, 0.000000, 2
Donald_Fehr, 0.320571, 0.055218, 4
Donald_Pettit, 0.188926, 0.029397, 3
Donald_Rumsfeld, 0.280205, 0.051477, 6
Donatella_Versace, 0.367117, 0.069543, 3
Donna_Shalala, 0.229033, 0.000000, 2
Don_Nickles, 0.211193, 0.000000, 2
Don_Siegelman, 0.241317, 0.069144, 4
Doris_Roberts, 0.264023, 0.053725, 3
Doris_Schroeder, 0.293138, 0.122037, 4
Doug_Collins, 0.684785, 0.000000, 2
Doug_Duncan, 0.186343, 0.000000, 2
Doug_Melvin, 0.318200, 0.098797, 3
Drew_Barrymore, 0.202286, 0.000000, 2
Duane_Lee_Chapman, 0.261473, 0.000000, 2
Dwayne_Johnson, 0.188213, 0.000000, 2
Eddie_Sutton, 0.459033, 0.000000, 2
Edie_Falco, 0.300875, 0.000000, 2
Edmund_Hillary, 0.339623, 0.031255, 3
Edmund_Stoiber, 0.322615, 0.099687, 6
Eduardo_Duhalde, 0.301163, 0.149000, 9
Eduard_Shevardnadze, 0.319571, 0.029223, 3
Edward_James_Olmos, 0.262846, 0.000000, 2
Edward_Kennedy, 0.391365, 0.084147, 3
Edward_Lu, 0.352877, 0.090481, 3
Edward_Norton, 0.227962, 0.000000, 2
Edward_Said, 0.350895, 0.000000, 2
Edwina_Currie, 0.238844, 0.033002, 3
Edwin_Edwards, 0.216988, 0.000000, 2
Ed_Rosenthal, 0.494038, 0.000000, 2
Ed_Smart, 0.247487, 0.000000, 2
Eileen_Coparropa, 0.285113, 0.022316, 3
Elena_Bovina, 0.244705, 0.035395, 3
Eliane_Karp, 0.256651, 0.062096, 4
Elijah_Wood, 0.343692, 0.000000, 2
Elinor_Caplan, 0.347087, 0.000000, 2
Elin_Nordegren, 0.385163, 0.000000, 2
Elisabeth_Schumacher, 0.184641, 0.000000, 2
Elizabeth_Dole, 0.220186, 0.022098, 4
Elizabeth_Hurley, 0.297367, 0.062093, 4
Elizabeth_Shue, 0.196865, 0.000000, 2
Elizabeth_Smart, 0.231382, 0.000000, 2
Elizabeth_Taylor, 0.396078, 0.000000, 2
Ellen_DeGeneres, 0.310151, 0.000000, 2
Ellen_Engleman, 0.283755, 0.000000, 2
Elton_John, 0.447454, 0.116875, 7
Elvis_Presley, 0.358262, 0.000000, 2
Emanuel_Ginobili, 0.395742, 0.050511, 3
Emily_Robison, 0.235912, 0.000000, 2
Emmanuelle_Beart, 0.297877, 0.043468, 3
Emma_Thompson, 0.184338, 0.021031, 3
Emma_Watson, 0.211462, 0.072464, 4
Emmit_Smith, 0.229902, 0.000000, 2
Eric_Clapton, 0.214015, 0.000000, 2
Eric_Hinske, 0.248158, 0.000000, 2
Eric_Rosser, 0.250155, 0.000000, 2
Erika_Harold, 0.208532, 0.044069, 5
Erik_Morales, 0.394972, 0.075397, 3
Erin_Runnion, 0.239946, 0.030758, 4
Ernie_Els, 0.424646, 0.105023, 4
Ernie_Eves, 0.294254, 0.000000, 2
Ernie_Fletcher, 0.447322, 0.000000, 2
Ethan_Hawke, 0.379126, 0.000000, 2
Eunice_Barber, 0.328958, 0.000000, 2
Evander_Holyfield, 0.614557, 0.000000, 2
Evan_Rachel_Wood, 0.229778, 0.046645, 3
Eva_Dimas, 0.212390, 0.000000, 2
Eve_Pelletier, 0.235427, 0.000000, 2
Fabiola_Zuluaga, 0.210005, 0.000000, 2
Fabrice_Santoro, 0.239663, 0.081796, 3
Farouk_al-Sharaa, 0.288625, 0.061502, 3
Faye_Dunaway, 0.496390, 0.000000, 2
Fayssal_Mekdad, 0.318214, 0.107112, 3
Federico_Trillo, 0.241683, 0.025950, 3
Felix_Mantilla, 0.329200, 0.000000, 2
Ferenc_Madl, 0.122528, 0.000000, 2
Fernando_Gonzalez, 0.332420, 0.089942, 5
Fernando_Henrique_Cardoso, 0.246601, 0.100151, 8
Fernando_Vargas, 0.354537, 0.079503, 4
Fidel_Castro, 0.275946, 0.059121, 10
Filippo_Inzaghi, 0.464274, 0.148879, 3
Flavia_Delaroli, 0.301213, 0.000000, 2
Frances_Fisher, 0.418818, 0.000000, 2
Francisco_Flores, 0.227022, 0.059408, 4
Francis_Ford_Coppola, 0.213767, 0.000000, 2
Francis_George, 0.187106, 0.000000, 2
Francis_Mer, 0.271465, 0.000000, 2
Franco_Dragone, 0.167288, 0.000000, 2
Franko_Simatovic, 0.502648, 0.000000, 2
Frank_Cassell, 0.318956, 0.034472, 3
Frank_Dunham_Jr, 0.236795, 0.000000, 2
Frank_Griswold, 0.304053, 0.000000, 2
Frank_Lautenberg, 0.226395, 0.000000, 2
Frank_Solich, 0.314438, 0.044696, 5
Frank_Stallone, 0.272430, 0.000000, 2
Franz_Beckenbauer, 0.260721, 0.000000, 2
Franz_Fischler, 0.260571, 0.000000, 2
Franz_Muentefering, 0.381900, 0.108171, 4
Fran_Drescher, 0.262730, 0.000000, 2
Fred_Eckhard, 0.234455, 0.054538, 3
Fred_Funk, 0.293235, 0.000000, 2
Fred_Thompson, 0.252741, 0.072200, 3
Fujio_Cho, 0.161754, 0.052208, 6
Gabriel_Batistuta, 0.314211, 0.000000, 2
Gabriel_Valdes, 0.267024, 0.000000, 2
Gao_Qiang, 0.369050, 0.000000, 2
Garry_Kasparov, 0.188246, 0.000000, 2
Garry_Trudeau, 0.411132, 0.000000, 2
Gary_Bergeron, 0.452533, 0.000000, 2
Gary_Carter, 0.270859, 0.079109, 3
Gary_Doer, 0.268679, 0.040272, 3
Gary_Forsee, 0.373577, 0.000000, 2
Gary_Locke, 0.293769, 0.000000, 2
Gary_Williams, 0.207088, 0.000000, 2
Gary_Winnick, 0.455196, 0.000000, 2
Gene_Robinson, 0.203195, 0.036733, 3
Geno_Auriemma, 0.468846, 0.000000, 2
Geoff_Hoon, 0.299169, 0.091798, 5
George_Brumley, 0.284224, 0.000000, 2
George_Foreman, 0.349789, 0.000000, 2
George_Galloway, 0.566071, 0.114650, 4
George_HW_Bush, 0.333193, 0.113337, 11
George_Karl, 0.525032, 0.000000, 2
George_Lopez, 0.303237, 0.103937, 4
George_Papandreou, 0.281613, 0.049614, 4
George_Pataki, 0.317242, 0.103521, 5
George_Robertson, 0.386244, 0.104883, 7
George_Roy_Hill, 0.209282, 0.000000, 2
George_Ryan, 0.235358, 0.045917, 4
George_Tenet, 0.572185, 0.000000, 2
George_Voinovich, 0.164569, 0.015661, 3
George_W_Bush, 0.334556, 0.095693, 9
Georgi_Parvanov, 0.326904, 0.000000, 2
Geraldine_Chaplin, 0.218523, 0.053984, 4
Gerardo_Gambala, 0.329401, 0.000000, 2
Gerard_Depardieu, 0.361715, 0.000000, 2
Gerhard_Schroeder, 0.327334, 0.111713, 11
Gerry_Adams, 0.195243, 0.068639, 8
Gianna_Angelopoulos-Daskalaki, 0.241809, 0.000000, 2
Gian_Marco, 0.368356, 0.075756, 3
Gilberto_Rodriguez_Orejuela, 0.261376, 0.034921, 4
Gillian_Anderson, 0.232857, 0.000000, 2
Gil_de_Ferran, 0.407980, 0.077607, 5
Gisele_Bundchen, 0.502154, 0.000000, 2
Giuseppe_Gibilisco, 0.270992, 0.074472, 3
Glafcos_Clerides, 0.207095, 0.037023, 4
Gloria_Allred, 0.272512, 0.000000, 2
Gloria_Macapagal_Arroyo, 0.304252, 0.054771, 5
Gloria_Trevi, 0.181698, 0.066122, 4
GL_Peiris, 0.410791, 0.146851, 4
Goh_Kun, 0.134253, 0.000000, 2
Goldie_Hawn, 0.245278, 0.048923, 5
Gonzalo_Sanchez_de_Lozada, 0.287742, 0.058473, 6
Goran_Persson, 0.327261, 0.000000, 2
Gordon_Brown, 0.358103, 0.083736, 4
Gordon_Campbell, 0.528609, 0.000000, 2
Grady_Irvin_Jr, 0.276946, 0.000000, 2
Grant_Hackett, 0.341179, 0.041646, 4
Gray_Davis, 0.550491, 0.149796, 4
Gregg_Popovich, 0.408284, 0.073606, 4
Gregory_Geoffroy, 0.213226, 0.000000, 2
Gregory_Hines, 0.255177, 0.000000, 2
Greg_Gilbert, 0.316008, 0.000000, 2
Greg_Ostertag, 0.419648, 0.000000, 2
Greg_Owen, 0.308580, 0.000000, 2
Greg_Rusedski, 0.236028, 0.058304, 4
Gro_Harlem_Brundtland, 0.200284, 0.000000, 2
Guillaume_Soro, 0.485945, 0.000000, 2
Guillermo_Canas, 0.305823, 0.032651, 4
Guillermo_Coria, 0.339776, 0.058210, 5
Guillermo_Ortiz, 0.258933, 0.000000, 2
Gunter_Pleuger, 0.262537, 0.073637, 5
Gustavo_Kuerten, 0.269461, 0.070631, 3
Gus_Van_Sant, 0.249130, 0.041744, 3
Guy_Hemmings, 0.446144, 0.000000, 2
Guy_Ritchie, 0.399709, 0.000000, 2
Gwendal_Peizerat, 0.355673, 0.048833, 3
Gwyneth_Paltrow, 0.235949, 0.045082, 5
Habib_Rizieq, 0.397137, 0.162724, 3
Halle_Berry, 0.292131, 0.078083, 5
Hal_Gehman, 0.296116, 0.038941, 3
Hamid_Karzai, 0.376875, 0.077072, 6
Hamzah_Haz, 0.283893, 0.000000, 2
Hanan_Ashrawi, 0.214704, 0.000000, 2
Hannah_Stockbauer, 0.322289, 0.000000, 2
Hans_Blix, 0.177674, 0.031572, 12
Harbhajan_Singh, 0.420701, 0.000000, 2
Harrison_Ford, 0.376275, 0.113390, 3
Harry_Belafonte, 0.282158, 0.000000, 2
Harry_Kalas, 0.350156, 0.000000, 2
Harry_Schmidt, 0.174341, 0.029649, 4
Hashim_Thaci, 0.389975, 0.000000, 2
Hassan_Nasrallah, 0.262980, 0.000000, 2
Hassan_Wirajuda, 0.273631, 0.000000, 2
Hayley_Tullett, 0.222688, 0.000000, 2
Heather_Mills, 0.292533, 0.038611, 3
Heath_Ledger, 0.232028, 0.104337, 4
Hector_Babenco, 0.196049, 0.025767, 3
